TP,FP,FN,precision,recall,f1,min_area
1744,739,10886,0.70237615787354,0.1380839271575613,0.2307946800767551,300
2324,1276,10306,0.6455555555555555,0.1840063341250989,0.2863832409118916,150
2618,1778,10012,0.5955414012738853,0.2072842438638163,0.3075296605192059,100
2885,2233,9745,0.5636967565455256,0.228424386381631,0.3251070543159792,75
3446,3360,9184,0.5063179547458125,0.2728424386381631,0.3545997118748713,50
4901,7423,7729,0.3976793248945147,0.3880443388756928,0.3928027570730143,25
